order,qtext,a_text,a_letter,b_text,b_letter
76,"Правила...","Нужны ради справедливости","T","Нужны ради гармонии","F"
77,"Конфликт в команде...","Найти объективное решение","T","Примирить стороны","F"
78,"Критика...","Нормальный инструмент роста","T","Ранит, ею стоит бережно","F"
79,"Приоритизация...","По влиянию на цель","T","По людям и отношениям","F"
80,"Решение в стрессовой ситуации...","Держаться фактов","T","Прислушаться к эмоциям","F"
81,"Обратную связь даёте...","Конкретную и точную","T","Поддерживающую и тактичную","F"
82,"Выбор слов...","Точность важнее","T","Доброжелательность важнее","F"
83,"Волонтёрство...","Если видите реальный эффект","T","Если чувствуете отклик","F"
84,"Оценка идеи...","Работает или нет","T","Как на это отреагируют","F"
85,"Прощать ошибки...","Важно, но после анализа","T","Важно ради атмосферы","F"
86,"Дисциплина...","Про ответственность","T","Про уважение друг к другу","F"
87,"В споре с близкими...","Главное аргументы","T","Главное чувства","F"
88,"Награда команде...","За достигнутые метрики","T","За поддержку и вклад каждого","F"
89,"Вы замечаете прежде всего...","Несостыковки и риски","T","Настроения и отношения","F"
90,"Сложный выбор...","Составляете таблицу «за/против»","T","Прислушиваетесь к себе и другим","F"
91,"Книга или фильм...","Цените логичность сюжета","T","Цените эмоциональный отклик","F"
92,"Правда и мир...","Сначала правда","T","Сначала мир","F"
93,"Советы...","Прямо и по делу","T","Деликатно и с поддержкой","F"
